#country_of_birth	B*07	B*08	B*13	B*14	B*15	B*18	B*27	B*35	B*37	B*38	B*39	B*40	B*41	B*42	B*44	B*45	B*46	B*47	B*48	B*49	B*50	B*51	B*52	B*53	B*54	B*55	B*56	B*57	B*58	B*59	B*67	B*70	B*73	B*78	B*81	B*82	n
Myanmar (Burma)	13	11	13	4	29	3	3	9	4	7	1	11	1	0	32	3	11	1	1	1	3	11	16	1	1	1	0	9	5	0	0	0	0	0	0	0	205
Nepal	8	3	15	0	41	18	1	32	2	2	0	12	0	0	19	0	1	0	32	0	2	4	14	0	3	2	0	3	13	0	0	0	0	0	0	0	227
Netherlands	150	123	18	15	89	38	37	78	15	16	12	78	12	0	106	7	1	3	0	5	10	43	3	5	0	22	3	23	2	0	0	0	0	0	1	0	915
New Zealand	219	185	30	60	87	48	50	67	22	19	20	88	5	0	230	8	1	4	3	9	6	35	8	9	0	24	4	50	9	0	0	0	0	0	0	0	1300
Nigeria	159	45	7	45	293	48	11	178	5	3	15	18	5	112	129	69	0	0	0	63	7	22	1	348	0	6	3	71	166	0	0	0	0	3	28	0	1860
Northern Ireland	1047	964	112	308	282	184	226	324	110	35	71	306	33	1	1014	38	0	7	0	52	50	139	40	10	0	130	10	207	15	0	0	0	0	0	0	0	5715
Norway	36	29	5	4	19	12	14	21	3	2	2	35	2	0	33	2	0	0	0	5	5	12	0	1	0	3	0	11	0	0	0	0	0	0	0	0	256
Pakistan	137	280	94	19	102	58	37	243	77	37	7	170	23	2	192	24	1	2	13	18	83	228	193	6	4	39	9	138	116	0	0	0	0	0	0	0	2352
Palestine	9	6	2	4	6	7	3	8	0	3	2	2	6	0	19	1	0	0	0	3	5	2	7	2	0	3	0	2	0	0	0	0	0	0	0	0	102
Peru	12	11	2	6	12	2	7	12	1	1	2	4	1	0	11	2	1	0	3	8	2	7	2	1	0	0	0	4	1	0	0	0	0	0	0	0	115
Philippines	18	0	18	2	61	9	18	75	0	104	2	50	0	0	9	0	12	0	14	0	1	19	2	0	4	0	0	0	32	0	0	0	0	0	0	0	450
Poland	148	113	64	33	58	65	71	100	14	42	14	79	17	2	132	4	0	3	4	15	9	61	22	1	0	10	12	42	10	0	0	0	1	0	0	0	1146
Portugal	50	43	1	47	33	28	16	49	10	8	5	17	5	2	75	9	0	1	0	21	18	61	4	7	0	8	1	19	12	1	0	1	0	0	1	0	553
Republic of Ireland	1666	1738	104	579	379	322	274	412	223	59	140	444	39	0	1668	43	0	20	0	110	59	232	41	18	0	158	19	377	22	0	0	0	1	0	1	0	9148
Romania	8	8	1	6	5	12	5	12	2	6	2	5	3	0	15	0	0	0	0	2	1	10	3	0	0	0	0	4	3	0	0	0	0	0	0	0	113
Russia	30	20	18	4	11	23	12	27	6	16	6	17	5	0	31	0	0	0	3	2	2	11	6	0	0	3	1	17	3	0	0	0	0	0	0	0	274
Scotland	12773	12731	1621	3671	3717	2462	3329	3828	1198	572	956	3964	320	4	13016	554	1	133	9	995	772	1968	416	138	1	1458	145	3142	305	0	0	0	25	0	2	0	74226
Serbia/Montenegro	6	7	2	3	1	12	5	17	2	1	2	7	2	0	7	1	0	0	0	5	2	9	2	1	0	1	0	2	1	0	0	0	0	0	0	0	98
Seychelles	5	5	2	3	6	5	2	0	1	0	1	8	0	0	7	4	1	0	0	2	3	5	1	7	0	0	0	1	6	0	0	0	0	0	1	0	76
Sierra Leone	20	8	3	14	39	7	5	43	4	2	2	5	6	36	21	20	0	0	0	13	5	6	5	56	0	0	1	12	26	0	0	0	1	8	2	0	370
Singapore	128	112	34	29	85	33	30	54	10	9	6	76	6	0	105	6	14	1	1	5	17	33	12	2	4	13	1	34	21	0	0	0	1	0	0	0	882
Slovakia	6	6	6	3	5	2	5	9	0	3	1	1	0	0	5	0	0	0	0	0	1	2	3	0	0	0	1	2	0	0	0	0	0	0	0	0	61
Somalia	30	7	1	6	8	4	7	5	5	2	6	0	15	1	7	2	1	1	0	8	1	14	0	11	0	1	0	6	19	0	0	0	2	0	1	0	171
South Africa	337	270	73	126	174	91	94	163	19	47	38	152	29	16	368	24	5	6	1	31	27	92	40	17	0	40	3	102	45	0	0	0	1	0	4	0	2435
Spain	54	45	7	56	30	47	18	43	5	18	4	30	9	0	110	10	0	0	0	22	18	45	8	8	0	9	0	21	11	0	0	0	0	1	0	0	629
Sri Lanka	148	49	52	6	102	20	18	107	52	12	6	79	1	1	141	0	0	1	2	8	16	59	105	2	0	26	11	98	86	0	0	0	1	0	0	0	1209
Sudan	10	11	5	9	7	8	5	13	4	5	3	9	12	5	12	4	0	1	0	5	13	8	4	5	0	2	0	8	7	0	0	0	1	1	0	0	177
