#country_of_birth	f_A	f_B	f_AB	f_O	n_A	n_B	n_AB	n_O	n
Ecuador	0.184210526315789	0.0789473684210526	0.0526315789473684	0.68421052631579	7	3	2	26	38
Egypt	0.405750798722045	0.159744408945687	0.0990415335463259	0.329073482428115	127	50	31	103	313
England	0.423332227424092	0.0862166844840933	0.0316830709870854	0.455401137857731	172256	35082	12892	185305	406905
Eritrea	0.314814814814815	0.185185185185185	0.0925925925925926	0.388888888888889	17	10	5	21	54
Ethiopia	0.35	0.1625	0.05	0.3875	28	13	4	31	80
Europe	0.371069182389937	0.220125786163522	0.0628930817610063	0.345911949685535	59	35	10	55	159
Fiji	0.297297297297297	0.297297297297297	0.0540540540540541	0.351351351351351	11	11	2	13	37
Finland	0.365384615384615	0.185897435897436	0.0833333333333333	0.358974358974359	57	29	13	56	156
France	0.417350527549824	0.0984759671746776	0.0480656506447831	0.431418522860492	356	84	41	368	853
Gambia	0.547619047619048	0.142857142857143	0.0952380952380952	0.166666666666667	23	6	4	7	42
Germany	0.42238946378175	0.111947318908749	0.0493885230479774	0.413922859830668	898	238	105	880	2126
Ghana	0.372844827586207	0.168103448275862	0.102370689655172	0.290948275862069	346	156	95	270	928
Gibraltar	0.311688311688312	0.155844155844156	0.025974025974026	0.506493506493507	24	12	2	39	77
Greece	0.412213740458015	0.114503816793893	0.0534351145038168	0.419847328244275	54	15	7	55	131
Hong Kong	0.302469135802469	0.222222222222222	0.066358024691358	0.407407407407407	196	144	43	264	648
Hungary	0.394230769230769	0.211538461538462	0.0480769230769231	0.346153846153846	41	22	5	36	104
India	0.279969841668761	0.29756220155818	0.082181452626288	0.333500879617994	1114	1184	327	1327	3979
Indonesia	0.387096774193548	0.225806451612903	0.0806451612903226	0.306451612903226	24	14	5	19	62
Iran	0.336466165413534	0.259398496240602	0.0620300751879699	0.338345864661654	179	138	33	180	532
Iraq	0.295522388059702	0.253731343283582	0.0955223880597015	0.340298507462687	99	85	32	114	335
Israel	0.413793103448276	0.149425287356322	0.0804597701149425	0.344827586206897	36	13	7	30	87
Italy	0.422466422466423	0.1001221001221	0.0525030525030525	0.421245421245421	346	82	43	345	819
Ivory Coast	0.65625	0.125	0.0625	0.125	21	4	2	4	32
Japan	0.320754716981132	0.245283018867925	0.0943396226415094	0.339622641509434	85	65	25	90	265
Kenya	0.28374325134973	0.26754649070186	0.0821835632873425	0.359928014397121	473	446	137	600	1667
Kuwait	0.483870967741936	0.0967741935483871	0.032258064516129	0.387096774193548	15	3	1	12	31
Latvia	0.283018867924528	0.226415094339623	0.0943396226415094	0.39622641509434	15	12	5	21	53
Lebanon	0.337662337662338	0.12987012987013	0.051948051948052	0.480519480519481	26	10	4	37	77
Libya	0.4	0.127272727272727	0.0545454545454545	0.4	44	14	6	44	110
Lithuania	0.305555555555556	0.222222222222222	0.0972222222222222	0.375	22	16	7	27	72
Malawi	0.324324324324324	0.162162162162162	0.0540540540540541	0.450450450450451	36	18	6	50	111
Malaysia	0.332838038632987	0.224368499257058	0.0416047548291233	0.389301634472511	224	151	28	262	673
Malta	0.467032967032967	0.0686813186813187	0.0302197802197802	0.428571428571429	170	25	11	156	364
Mauritius	0.250632911392405	0.286075949367089	0.0835443037974684	0.372151898734177	99	113	33	147	395
Mexico	0.333333333333333	0.141025641025641	0	0.525641025641026	26	11	0	41	78
Morocco	0.408602150537634	0.161290322580645	0.0430107526881721	0.387096774193548	38	15	4	36	93
Mozambique	0.390243902439024	0.146341463414634	0.0975609756097561	0.341463414634146	16	6	4	14	41
Myanmar (Burma)	0.317073170731707	0.219512195121951	0.0731707317073171	0.390243902439024	39	27	9	48	123
Nepal	0.347826086956522	0.248447204968944	0.0683229813664596	0.322981366459627	56	40	11	52	161
Netherlands	0.431492842535787	0.0797546012269939	0.0265848670756646	0.458077709611452	211	39	13	224	489
New Zealand	0.4	0.0875912408759124	0.037956204379562	0.471532846715328	274	60	26	323	685
Nigeria	0.411917098445596	0.151122625215889	0.077720207253886	0.293609671848014	477	175	90	340	1158
North America	0.447619047619048	0.0857142857142857	0.0476190476190476	0.39047619047619	47	9	5	41	105
Northern Ireland	0.343297671491504	0.10667086217747	0.0308370044052863	0.516991818753933	1091	339	98	1643	3178
Norway	0.470149253731343	0.082089552238806	0.0447761194029851	0.402985074626866	63	11	6	54	134
Oceania	0.6	0	0	0.4	9	0	0	6	15
Pakistan	0.249477351916376	0.33588850174216	0.0885017421602787	0.320557491289199	358	482	127	460	1435
Palestine	0.25	0.183333333333333	0.116666666666667	0.45	15	11	7	27	60
Peru	0.320987654320988	0.111111111111111	0.0246913580246914	0.518518518518519	26	9	2	42	81
Philippines	0.309309309309309	0.255255255255255	0.0450450450450451	0.366366366366366	103	85	15	122	333
Poland	0.427672955974843	0.174528301886792	0.0723270440251572	0.325471698113208	272	111	46	207	636
Portugal	0.43125	0.0875	0.040625	0.4375	138	28	13	140	320
Republic of Ireland	0.315421494206952	0.108869356771874	0.0255693168198162	0.547942469037155	1579	545	128	2743	5006
Romania	0.484848484848485	0.227272727272727	0.0757575757575758	0.212121212121212	32	15	5	14	66
Russia	0.392405063291139	0.221518987341772	0.0949367088607595	0.291139240506329	62	35	15	46	158
Scotland	0.349399406945771	0.111373573905614	0.0303563351258984	0.506835201286626	13904	4432	1208	20169	39794
Serbia/Montenegro	0.392857142857143	0.142857142857143	0.107142857142857	0.357142857142857	22	8	6	20	56
Seychelles	0.4	0.177777777777778	0.0888888888888889	0.333333333333333	18	8	4	15	45
Sierra Leone	0.414847161572052	0.179039301310044	0.0960698689956332	0.270742358078603	95	41	22	62	229
